what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433717874708
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433717875534
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433717884222
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433717889012
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1433717893277
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1433717899664
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433717901349
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433717906071
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1433717908300
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1433717923536
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433717930501
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433717934119
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1433717947398
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1433717979152
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1433717980547
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1433717982929
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433717990536
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433717995975
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433717998800
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718000865
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718001831
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718003415
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718004908
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718007247
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718008418
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718009962
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718011126
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718013641
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718016212
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718019093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718058064
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718061273
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718074491
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718087611
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1433718092440
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718102972
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718106762
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718107722
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718109721
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718112071
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718115716
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718138748
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718142324
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718143592
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718147659
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1433718149136
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1433718149744
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1433718181339
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1433718186777
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1433718187984
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1433718214873
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1433718217028
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718223973
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1433718229560
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1433718232104
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1433718232585
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1433718233067
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1433718233443
